;Unnamed: 0;image;nnodes;width;height;npixels;runtime_non_diff;runtime_exact_edt;runtime_max_diff;runtime_max_dist_opt2;runtime_max_dist_opt3;speedup_non_diff;speedup_exact;speedup_max_diff;speedup_max_dist_opt2
0;0;val_157.png;107981;1920;1080;2073600;18622.666666666668;18859.333333333332;9994.333333333334;6287.0;5301.333333333333;3.512826961770624;3.557469818913481;1.8852489939637829;1.185928068410463
1;1;val_084.png;62776;1920;1080;2073600;15169.333333333334;17420.0;5780.333333333333;3882.6666666666665;3141.0;4.829459832325162;5.546004457179242;1.8402844104849834;1.2361243765255225
2;2;val_178.png;151311;1920;1080;2073600;17693.333333333332;19404.0;10085.333333333334;5977.0;4992.0;3.5443376068376065;3.887019230769231;2.0202991452991452;1.197315705128205
3;3;val_153.png;106318;1920;1080;2073600;17921.0;18197.333333333332;7678.0;4985.0;4094.6666666666665;4.376668837512211;4.444154998371865;1.8751221100618691;1.2174373168349073
4;4;val_003.png;110846;1920;1080;2073600;14832.333333333334;17991.333333333332;8311.0;5426.666666666667;4382.666666666667;3.3843170063888044;4.105111043504715;1.8963340432004867;1.2382111347733495
5;5;val_062.png;133174;1920;1080;2073600;17276.0;19239.333333333332;10145.333333333334;6385.0;5196.333333333333;3.324651998203862;3.7024825197254474;1.9524023349797937;1.2287510424016936
6;6;val_151.png;231574;1920;1080;2073600;19703.333333333332;21386.333333333332;9960.0;5555.333333333333;4631.666666666667;4.254048218783734;4.617416336811802;2.150413817920115;1.1994242533285353
7;7;val_092.png;115024;1920;1080;2073600;20398.333333333332;19891.333333333332;12041.333333333334;7203.0;6171.0;3.305515043482958;3.2233565602549556;1.9512774806892454;1.1672338356830336
8;8;val_033.png;125414;1920;1080;2073600;17931.333333333332;19956.666666666668;9572.333333333334;5858.666666666667;4865.333333333333;3.6855302822691147;4.101808714716361;1.9674568374897234;1.2041655248013157
9;9;val_061.png;153040;1920;1080;2073600;20846.666666666668;20096.0;11764.666666666666;7370.333333333333;6453.333333333333;3.2303719008264467;3.1140495867768596;1.8230371900826445;1.1420971074380166
10;10;val_123.png;90626;1920;1080;2073600;17096.0;18188.0;8883.333333333334;5829.666666666667;4833.0;3.537347403269191;3.7632940202772605;1.8380577970894545;1.2062211186978413
11;11;val_023.png;197080;1920;1080;2073600;21428.333333333332;21458.666666666668;11679.333333333334;6595.0;5680.666666666667;3.772151155967609;3.7774909048233773;2.055979345147283;1.1609552869381528
12;12;val_047.png;153145;1920;1080;2073600;19935.333333333332;20951.666666666668;11851.333333333334;7033.0;6041.666666666667;3.2996413793103443;3.467862068965517;1.9616;1.1640827586206897
13;13;val_145.png;92842;1920;1080;2073600;18492.333333333332;18904.666666666668;8485.666666666666;5691.0;4711.666666666667;3.9247966041740354;4.012309869119208;1.8009904492394762;1.2078528475415635
14;14;val_170.png;90162;1920;1080;2073600;18303.0;19308.333333333332;9699.666666666666;6127.0;5244.666666666667;3.4898309393669757;3.6815177322994783;1.8494343460022877;1.1682343968475912
15;15;val_169.png;136701;1920;1080;2073600;19414.0;21548.0;10724.666666666666;6201.0;5224.333333333333;3.7160722261213555;4.124545396541824;2.052829707139667;1.1869457028009953
16;16;val_078.png;88813;1920;1080;2073600;17448.666666666668;18306.666666666668;8871.333333333334;5574.333333333333;4695.333333333333;3.71617208575891;3.8989067158881165;1.8893937242652281;1.1872071560414597
17;17;val_114.png;110751;1920;1080;2073600;15249.666666666666;17633.333333333332;6776.0;4264.333333333333;3406.0;4.477294969661382;5.1771383832452536;1.989430416911333;1.2520062634566451
18;18;val_043.png;141507;1920;1080;2073600;20527.0;20612.0;12369.333333333334;7645.333333333333;6571.666666666667;3.1235607405528785;3.1364950545270096;1.8822216586355567;1.1633781384732436
19;19;val_034.png;171935;1920;1080;2073600;13934.666666666666;18857.0;7056.0;4108.0;3446.6666666666665;4.042940038684719;5.471083172147003;2.047195357833656;1.1918762088974855
20;20;val_045.png;90050;1920;1080;2073600;20480.0;19013.666666666668;9994.666666666666;6430.666666666667;5568.666666666667;3.677720579432539;3.414402011253442;1.7948042619418172;1.154794684544475
21;21;val_168.png;140976;1920;1080;2073600;18714.666666666668;19793.333333333332;11358.0;6535.666666666667;5640.333333333333;3.3180072099757703;3.5092488623603804;2.013710773594941;1.1587376632586728
22;22;val_201.png;115127;1920;1080;2073600;17706.0;19290.0;9733.0;5616.0;4882.333333333333;3.6265446849184135;3.950979722810132;1.9935140301768282;1.1502696797979108
23;23;val_113.png;97093;1920;1080;2073600;14488.666666666666;18618.0;7248.333333333333;4395.0;3619.3333333333335;4.0031313317369674;5.144041259900534;2.002670841775649;1.2143120279977897
24;24;val_005.png;95646;1920;1080;2073600;18574.666666666668;18777.666666666668;8433.333333333334;5512.0;4656.333333333333;3.98911876297516;4.032715298160213;1.811153267950462;1.1837640489655668
25;25;val_186.png;126420;1920;1080;2073600;15735.0;20254.666666666668;9437.0;5885.0;4933.0;3.189742550172309;4.105953104939523;1.9130346645043583;1.1929860125684169
26;26;val_196.png;140645;1920;1080;2073600;19873.0;19993.333333333332;10392.333333333334;6588.0;5627.666666666667;3.5313036782562337;3.5526861339809273;1.8466504768109933;1.1706450275424982
27;27;val_140.png;99679;1920;1080;2073600;12755.333333333334;18076.0;7712.333333333333;4902.666666666667;3961.6666666666665;3.2196886832141356;4.562726125368111;1.946739587715608;1.237526293647455
28;28;val_150.png;195204;1920;1080;2073600;19912.0;20892.333333333332;10143.666666666666;5841.333333333333;5038.333333333333;3.9521005623552763;4.146675487925902;2.0132980482963942;1.1593781012239497
29;29;val_174.png;177887;1920;1080;2073600;20404.333333333332;21012.666666666668;11646.666666666666;6523.333333333333;5570.666666666667;3.662817137386309;3.772020105313547;2.090713259932982;1.1710148396361895
30;30;val_020.png;170194;1920;1080;2073600;19003.333333333332;20459.0;9499.0;5566.0;4732.333333333333;4.015637106430936;4.323237303655702;2.0072550538846237;1.1761639783052757
31;31;val_164.png;178570;1920;1080;2073600;18589.666666666668;20564.0;10656.0;6440.0;5446.333333333333;3.4132443846012612;3.7757512699675626;1.956545688230614;1.1824469061754086
32;32;val_011.png;178927;1920;1080;2073600;16589.333333333332;21730.0;9625.0;5646.0;4869.0;3.407133566098446;4.462928732799343;1.9767919490655166;1.159581022797289
33;33;val_116.png;225273;1920;1080;2073600;20039.0;21267.333333333332;10003.333333333334;5571.0;4831.333333333333;4.14771629639851;4.401959431488892;2.0705119359735065;1.1530978335863116
34;34;val_046.png;164836;1920;1080;2073600;14977.666666666666;18838.0;9714.333333333334;5531.0;4831.666666666667;3.0998965160400136;3.8988616764401516;2.0105553639185927;1.144739565367368
